#,Component / Description,Price (CHF),Price (USD),Link
1,2x SURPASS HOBBY 3530 Brushless Motor + Skywalker 40A ESC Combo + XT60,59.58,75.58,https://de.aliexpress.com/item/1005010369640451.html
2,Wellpower LiPo Battery 4200mAh 14.8V 4S 35/70C XT-60,53.60,68.00,https://www.galaxus.ch/de/s5/product/wellpower-lipo-akku-ultima-4200-mah-148-volt-4s-3570c-ch58-xt-60-1480-v-4200-mah-rc-akku-24449926
3,"Rubber Tire Covers 1.9"" (4 pcs)",10.39,13.18,https://de.aliexpress.com/item/1005010369640451.html
4,L298N Motor Driver,0.84,1.07,https://de.aliexpress.com/item/1005006128416583.html
5,4x TT Motors,2.88,3.65,https://de.aliexpress.com/item/1005008500544808.html
6,4x Servo 9g,5.49,6.96,https://de.aliexpress.com/item/1005010200792590.html
7,Conveyor Belt (Foerderband),4.85,6.15,https://de.aliexpress.com/item/1005009403340692.html
8,OV13855 Camera Module,20.00,25.37,https://de.aliexpress.com/item/1005005821123064.html
9,LED Strip,4.25,5.39,https://de.aliexpress.com/item/1005006301388677.html
10,MPU-6050 3-Axis Accelerometer + Gyroscope,2.89,3.67,https://de.aliexpress.com/item/32960610502.html
11,Orange Pi 5 Pro,84.99,107.82,https://de.aliexpress.com/item/1005006925269406.html
12,Filament 3kg PLA Black,38.55,48.90,https://www.3djake.ch/en-CH/elegoo/pla-black-9
13,4x IR Sensor,5.24,6.65,https://de.aliexpress.com/item/32960610502.html
14,M4 Screws,5.11,6.48,https://de.aliexpress.com/item/1005004682740813.html
15,Step Down XL4016,2.49,3.16,https://de.aliexpress.com/item/1005006309760854.html
TOTAL,,301.15,382.03,
